# V (V) 	 J (mA/cm2)
1.500000000000000000e+00	1.932652499999999804e+02
1.449999999999999956e+00	1.743514749999999935e+02
1.399999999999999911e+00	1.551348250000000064e+02
1.350000000000000089e+00	1.360892000000000053e+02
1.300000000000000044e+00	1.174343750000000028e+02
1.250000000000000000e+00	9.928122499999999206e+01
1.199999999999999956e+00	8.172265000000000157e+01
1.149999999999999911e+00	6.488642499999998847e+01
1.100000000000000089e+00	4.891242500000000604e+01
1.050000000000000044e+00	3.403820000000000334e+01
1.000000000000000000e+00	2.075549750000000060e+01
9.499999999999999556e-01	1.002536499999999897e+01
9.000000000000000222e-01	3.293834999999999624e+00
8.499999999999999778e-01	7.261104999999999920e-01
8.000000000000000444e-01	1.396833749999999985e-01
7.500000000000000000e-01	3.216652500000000137e-02
6.999999999999999556e-01	1.189454250000000074e-02
6.500000000000000222e-01	7.087729999999999551e-03
5.999999999999999778e-01	5.276827500000000164e-03
5.500000000000000444e-01	4.174014999999999670e-03
5.000000000000000000e-01	3.329579999999999953e-03
4.500000000000000111e-01	2.646837500000000145e-03
4.000000000000000222e-01	2.178830750000000128e-03
3.499999999999999778e-01	1.594581749999999902e-03
2.999999999999999889e-01	1.195640499999999938e-03
2.500000000000000000e-01	8.733487499999999584e-04
2.000000000000000111e-01	6.136407500000000794e-04
1.499999999999999944e-01	4.076755000000000916e-04
1.000000000000000056e-01	0.000000000000000000e+00
5.000000000000000278e-02	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00
-5.000000000000000278e-02	0.000000000000000000e+00
-1.000000000000000056e-01	0.000000000000000000e+00
-1.499999999999999944e-01	-7.877039999999999379e-05
-2.000000000000000111e-01	-1.336372499999999850e-04
-2.500000000000000000e-01	-2.211980000000000055e-04
-2.999999999999999889e-01	-1.480375250000000005e-03
-3.499999999999999778e-01	-2.019620999999999656e-03
-4.000000000000000222e-01	-2.687145000000000158e-03
-4.500000000000000111e-01	-3.483772500000000168e-03
-5.000000000000000000e-01	-4.455507499999999781e-03
