# V (V) 	 J (mA/cm2)
-5.000000000000000000e-01	-3.883020000000000138e+00
-4.500000000000000111e-01	-3.848767499999999675e+00
-4.000000000000000222e-01	-3.810602499999999893e+00
-3.499999999999999778e-01	-3.780967500000000037e+00
-2.999999999999999889e-01	-3.740637499999999616e+00
-2.500000000000000000e-01	-3.703557500000000058e+00
-2.000000000000000111e-01	-3.666300000000000114e+00
-1.499999999999999944e-01	-3.625785000000000036e+00
-1.000000000000000056e-01	-3.590707499999999719e+00
-5.000000000000000278e-02	-3.549782499999999619e+00
0.000000000000000000e+00	-3.510672500000000529e+00
5.000000000000000278e-02	-3.463089999999999780e+00
1.000000000000000056e-01	-3.423475000000000268e+00
1.499999999999999944e-01	-3.370484999999999953e+00
2.000000000000000111e-01	-3.323292499999999539e+00
2.500000000000000000e-01	-3.276140000000000274e+00
2.999999999999999889e-01	-3.227147500000000058e+00
3.499999999999999778e-01	-3.170550000000000423e+00
4.000000000000000222e-01	-3.108667500000000139e+00
4.500000000000000111e-01	-3.050822499999999771e+00
5.000000000000000000e-01	-2.981730000000000214e+00
5.500000000000000444e-01	-2.913337499999999913e+00
5.999999999999999778e-01	-2.831595000000000084e+00
6.500000000000000222e-01	-2.743782500000000013e+00
6.999999999999999556e-01	-2.629767499999999814e+00
7.500000000000000000e-01	-2.471013999999999822e+00
8.000000000000000444e-01	-2.180773250000000107e+00
8.499999999999999778e-01	-1.492413500000000059e+00
9.000000000000000222e-01	1.692224000000000228e-01
9.499999999999999556e-01	3.108497500000000358e+00
1.000000000000000000e+00	7.123739999999998851e+00
1.050000000000000044e+00	1.211666499999999935e+01
1.100000000000000089e+00	1.822959000000000174e+01
1.149999999999999911e+00	2.565982500000000144e+01
1.199999999999999956e+00	3.452714999999999179e+01
1.250000000000000000e+00	4.487807500000000260e+01
1.300000000000000044e+00	5.664062500000000000e+01
1.350000000000000089e+00	6.970757499999999141e+01
1.399999999999999911e+00	8.395412500000000477e+01
1.449999999999999956e+00	9.922542500000000132e+01
1.500000000000000000e+00	1.154120249999999999e+02
